Movie_ID,Year,Name,User_ID,Rating
3,1997,Character,2382844,5
3,1997,Character,1689050,4
3,1997,Character,288727,3
8,2004,What the  Do We Know,1084149,3
8,2004,What the  Do We Know,1863874,5
8,2004,What the  Do We Know,1002575,4
8,2004,What the  Do We Know,784041,3
8,2004,What the  Do We Know,2332286,5
8,2004,What the  Do We Know,376505,1
8,2004,What the  Do We Know,2136742,4
8,2004,What the  Do We Know,1866729,3
8,2004,What the  Do We Know,2389750,3
8,2004,What the  Do We Know,2630254,4
8,2004,What the  Do We Know,1449358,4
8,2004,What the  Do We Know,1048594,2
8,2004,What the  Do We Know,987214,2
8,2004,What the  Do We Know,1538659,3
8,2004,What the  Do We Know,763571,3
8,2004,What the  Do We Know,2524866,4
8,2004,What the  Do We Know,1576482,3
8,2004,What the  Do We Know,2337634,3
8,2004,What the  Do We Know,1136132,4
8,2004,What the  Do We Know,1921443,4
8,2004,What the  Do We Know,2019388,4
8,2004,What the  Do We Know,297100,3
8,2004,What the  Do We Know,1674265,3
8,2004,What the  Do We Know,1974726,5
8,2004,What the  Do We Know,2241772,1
8,2004,What the  Do We Know,1314208,4
8,2004,What the  Do We Know,1689922,4
8,2004,What the  Do We Know,820774,1
8,2004,What the  Do We Know,1447720,3
16,1996,Screamers,216780,1
16,1996,Screamers,2111497,3
16,1996,Screamers,2278587,3
16,1996,Screamers,2637755,2
16,1996,Screamers,2210727,3
16,1996,Screamers,508069,2
16,1996,Screamers,2511489,3
16,1996,Screamers,511883,2
16,1996,Screamers,235208,2
16,1996,Screamers,1283299,4
16,1996,Screamers,1142260,5
16,1996,Screamers,755915,2
16,1996,Screamers,520675,3
17,2005,7 Seconds,2285686,2
17,2005,7 Seconds,1683746,3
17,2005,7 Seconds,1383675,3
17,2005,7 Seconds,2362776,3
17,2005,7 Seconds,2458437,3
17,2005,7 Seconds,1951361,4
17,2005,7 Seconds,1865253,3
17,2005,7 Seconds,1652110,3
17,2005,7 Seconds,1253144,3
17,2005,7 Seconds,420537,4
17,2005,7 Seconds,450021,3
17,2005,7 Seconds,1630822,3
17,2005,7 Seconds,88661,4
18,1994,Immortal Beloved,789493,3
18,1994,Immortal Beloved,1952746,4
18,1994,Immortal Beloved,789969,4
18,1994,Immortal Beloved,1675950,5
18,1994,Immortal Beloved,720084,5
18,1994,Immortal Beloved,2082693,4
18,1994,Immortal Beloved,1598922,5
18,1994,Immortal Beloved,2455340,3
18,1994,Immortal Beloved,767832,4
18,1994,Immortal Beloved,1939582,3
18,1994,Immortal Beloved,1316762,4
18,1994,Immortal Beloved,1104756,3
18,1994,Immortal Beloved,1217689,3
18,1994,Immortal Beloved,1825647,3
18,1994,Immortal Beloved,341754,4
18,1994,Immortal Beloved,2463759,2
18,1994,Immortal Beloved,2108751,4
18,1994,Immortal Beloved,402437,5
18,1994,Immortal Beloved,317399,4
18,1994,Immortal Beloved,1265482,2
18,1994,Immortal Beloved,1455251,5
18,1994,Immortal Beloved,448724,5
18,1994,Immortal Beloved,1749656,4
18,1994,Immortal Beloved,571277,4
18,1994,Immortal Beloved,867245,5
18,1994,Immortal Beloved,1772658,3
18,1994,Immortal Beloved,1429629,4
26,2004,Never Die Alone,2070267,2
26,2004,Never Die Alone,1844813,5
26,2004,Never Die Alone,478558,3
26,2004,Never Die Alone,1410742,2
26,2004,Never Die Alone,1232354,3
26,2004,Never Die Alone,1906611,3
26,2004,Never Die Alone,1133199,2
26,2004,Never Die Alone,92341,3
28,2002,Lilo and Stitch,1319894,4
28,2002,Lilo and Stitch,2431350,3
28,2002,Lilo and Stitch,101035,2
28,2002,Lilo and Stitch,1946921,3
28,2002,Lilo and Stitch,2617555,5
28,2002,Lilo and Stitch,752670,2
28,2002,Lilo and Stitch,2595888,5
28,2002,Lilo and Stitch,1813486,4
28,2002,Lilo and Stitch,256575,4
28,2002,Lilo and Stitch,2479086,5
28,2002,Lilo and Stitch,148394,3
28,2002,Lilo and Stitch,2444311,4
28,2002,Lilo and Stitch,2294049,4
28,2002,Lilo and Stitch,825016,4
28,2002,Lilo and Stitch,1846074,4
28,2002,Lilo and Stitch,1838912,5
28,2002,Lilo and Stitch,1497044,5
28,2002,Lilo and Stitch,64741,5
28,2002,Lilo and Stitch,2380716,5
28,2002,Lilo and Stitch,600835,4
28,2002,Lilo and Stitch,991670,5
28,2002,Lilo and Stitch,651895,1
28,2002,Lilo and Stitch,1360538,4
28,2002,Lilo and Stitch,2108370,4
28,2002,Lilo and Stitch,2391213,2
28,2002,Lilo and Stitch,612653,5
28,2002,Lilo and Stitch,1913414,5
28,2002,Lilo and Stitch,1117923,4
28,2002,Lilo and Stitch,1012825,5
28,2002,Lilo and Stitch,509324,5
28,2002,Lilo and Stitch,2351938,4
28,2002,Lilo and Stitch,1183001,5
28,2002,Lilo and Stitch,2088513,1
28,2002,Lilo and Stitch,2615077,5
28,2002,Lilo and Stitch,1771242,5
28,2002,Lilo and Stitch,408200,3
28,2002,Lilo and Stitch,2054373,1
28,2002,Lilo and Stitch,1180319,4
28,2002,Lilo and Stitch,2463612,5
28,2002,Lilo and Stitch,2038368,4
28,2002,Lilo and Stitch,363988,2
28,2002,Lilo and Stitch,1220458,5
28,2002,Lilo and Stitch,1102112,5
28,2002,Lilo and Stitch,6701,5
28,2002,Lilo and Stitch,2188580,3
28,2002,Lilo and Stitch,2587270,4
28,2002,Lilo and Stitch,1745281,5
